Account,Won,Webinar,Conference,Website,Preqs,Trials,MKT,Partner,BVA,Eval,TotalNames,MQL,PardotScore
Delta Dental of Michigan,81564,2,1,1,0,0,4,0,2,0,17,3,1558
Acquia Inc.,81000,0,7,1,0,1,10,0,0,0,228,7,1879
"Aruba, a Hewlett-Packard Enterprise Company",77740,2,13,1,0,1,44,0,0,0,156,4,669
Visa Inc.,72832,5,31,7,0,5,53,0,0,0,195,13,3509
Raytheon Company,72750,17,64,14,1,6,97,4,0,0,557,32,8084
"ADTRAN, Inc.",72705,2,2,2,0,0,8,1,0,0,32,8,3120
ADP Added Value Services (AVS),70550,4,4,2,0,1,7,3,0,0,11,7,1361
United Parcel Service,69678,37,17,9,0,6,60,1,0,0,110,31,9371
Sun Life Financial,68000,3,8,5,1,2,23,0,0,1,76,12,2031
TSA Secure Flight,67060,0,0,0,0,0,0,1,0,0,1,1,282
First Republic Bank,66688,7,3,1,0,0,12,0,0,0,81,7,1931
Fidelity Investments (CTG),66538,6,1,2,0,0,10,0,1,0,14,2,493
Thrivent Financial for Lutherans,66150,9,15,3,0,1,26,0,0,0,43,8,2798
Accenture UK,65249,0,1,1,0,1,2,0,0,0,5,2,464
Centene,64748,9,7,5,0,1,26,2,0,0,201,14,3062
DBSingapore - PCF Team,64371,1,0,0,0,0,1,2,0,1,7,4,3678
Societe Generale ITIM,60436,0,0,0,0,0,2,0,0,1,3,1,100
Office of the Chief Information Officer (NIH OCIO),59231,1,8,3,1,1,24,0,0,0,26,3,555
AmerisourceBergen,58346,1,7,1,0,0,16,1,0,0,121,10,1379
Oportun,55000,0,0,1,0,0,1,1,0,0,22,3,167
MasterCard,53478,21,19,13,0,7,59,0,0,0,320,38,8185
Intesa Sanpaolo,53061,0,10,0,0,0,13,3,0,1,16,5,1135
BBVA Banco Continental,52867,0,0,0,0,0,0,0,0,1,0,0,0
Western Union,51850,1,2,3,2,1,66,1,0,0,217,5,732
Synopsys,51004,18,13,7,1,2,41,0,0,0,132,24,5157
American Express (AE),50303,0,0,0,0,0,0,0,2,0,2,0,50
California Franchise Tax Board,50050,2,1,3,1,0,4,1,0,0,23,5,1549
Duke Energy Corporation,49308,22,13,6,0,1,159,0,0,0,285,24,7925
Bayer Business Services GmbH,49157,2,4,3,0,0,5,4,0,0,13,4,1367
Bank of the West,48500,0,4,1,1,1,5,2,0,0,94,1,635
Wells Fargo Digital Channels Technology,48191,0,0,0,0,0,0,0,0,0,0,0,0
Church Pension Group,47984,1,1,1,0,1,3,1,0,0,5,2,751
MasterCard (Vocalink),47243,2,1,2,1,0,3,0,0,0,10,5,906
Capital One - Europe,45000,3,4,1,0,1,9,0,0,0,47,5,1059
Apple Special Projects Group,44868,0,1,1,1,0,2,3,0,0,2,2,535
Unisys-Zivra-NOVA-MSP,42725,0,0,0,0,0,0,1,0,0,0,0,0
U.S. Customs and Border Protection (CBP),41055,1,1,4,0,3,8,0,0,0,13,2,912
Esurance Inc.,40368,3,13,1,0,1,15,0,0,0,64,6,1795
Delta Dental of California,40000,0,7,2,0,2,11,0,0,0,118,4,1143
Eclipse Foundation,40000,0,0,1,0,1,1,0,0,0,8,1,503
Health Care Service Corporation (Blue Cross Blue Shield),39882,6,3,2,0,2,21,0,1,0,212,13,2386
Moody's Corporation,39622,7,9,6,1,1,18,4,0,0,34,8,2457
Entergy LLC,38800,1,1,2,1,1,5,1,0,0,54,5,2203
TIAA-CREF,38302,23,15,5,0,1,38,3,0,0,171,21,3948
Decennial Management Division (DMD),38302,0,0,0,0,0,0,2,0,0,3,0,6
BMW AG / Team Financial Service,37711,0,0,1,0,1,1,2,0,0,1,1,607
HPE-HUD-HITS,36758,11,83,16,0,7,130,1,0,0,144,21,6586
General Motors,36490,22,15,9,0,4,66,0,0,0,208,24,4864
23andMe,36000,3,4,2,0,2,46,0,0,0,87,5,1303
Ohio National Financial Services,36000,1,1,1,0,0,1,1,0,0,4,1,765
SiriusXM,36000,2,4,1,0,1,8,1,0,0,11,5,1223
AIG,35446,16,47,13,1,6,74,5,0,0,153,36,7306
Western Asset Management,35304,1,0,1,0,1,3,2,0,0,6,4,1323
Raytheon GPS-OCX Program,35029,0,0,2,0,1,2,4,0,0,2,1,227
TD Bank Financial Group,34863,7,10,16,1,15,41,3,0,0,390,22,4657
Leonteq Securities AG,34533,0,0,1,1,0,1,0,0,0,2,2,553
Sears Holdings Corporation,34088,1,0,2,0,1,5,1,0,0,195,4,1094
Bosch North America,34008,1,1,0,0,0,1,0,0,0,17,2,482
Meridian Health Plan,34000,1,5,0,0,0,8,1,0,0,23,6,951
Experian Americas Company,33508,17,46,7,0,2,75,0,0,0,505,22,6777
Frequentis AG,33206,0,1,2,0,1,9,0,0,0,24,7,1981
Scotiabank,32623,7,36,5,0,3,56,3,0,0,451,33,6309
Canadian Tire,32172,0,0,2,0,2,6,0,0,0,228,6,1720
Payments Canada,32000,5,3,2,1,1,7,0,0,0,12,4,705
Kmart Australia Limited,32000,1,1,2,0,0,2,1,0,0,9,5,1059
"Raymond James & Associates, Inc.",31403,3,12,0,0,0,43,0,0,0,111,4,822
Raytheon Company [IIS-Justice] (child),31225,2,12,3,0,0,14,7,0,0,39,4,762
Blackhawk Network,30322,4,8,3,1,1,16,0,0,0,35,10,2537
General Mills,30305,7,2,3,0,0,24,0,0,0,114,10,1739
DocuSign,30000,1,8,0,0,0,21,0,0,0,219,15,1630
Fidelis Care,30000,0,4,2,1,0,6,0,0,0,26,6,962
Fitbit,30000,1,1,0,0,0,13,0,1,0,130,2,282
Veracode,30000,4,9,1,0,0,32,0,0,0,76,8,2298
Ionic Security,29986,1,2,0,0,0,4,0,0,0,33,5,1106
T. Rowe Price,29871,4,6,3,0,2,18,0,0,0,121,7,1920
Republic Services,29366,0,2,0,0,0,4,0,0,0,42,3,488
CoreLogic,29158,7,6,4,1,3,21,4,1,1,127,13,3132
Craftsy,29100,0,1,0,0,0,3,0,0,0,13,1,109
"Fujitsu Network Communications, Inc.",29006,19,37,0,0,0,67,0,0,0,100,25,4448
EMC Corporation / XtremeIO,28784,1,0,0,0,0,1,0,0,0,1,0,50
Vistaprint,28421,6,12,7,0,4,28,0,0,0,76,11,4869
American National Standards Institute,28000,0,0,1,0,1,3,1,0,0,3,3,556
Kohl's Corporation,27882,5,6,3,0,1,26,2,1,0,116,14,2682
"Agilent Technologies, Inc.",27871,3,2,0,0,0,6,2,0,0,60,4,739
Airbus Defense and Space GmbH,27840,4,6,3,0,1,13,3,0,0,24,4,1092
Blue Cross Blue Shield of Kansas City,27625,0,1,1,0,0,10,1,1,0,42,1,238
SoftBank,27140,0,0,0,0,0,2,3,0,0,4,2,256
Efluid,27096,0,6,1,0,0,9,4,0,0,13,2,606
Intuit,27000,12,48,14,1,9,112,0,0,0,445,48,8220
Wells Fargo Shared Services,26845,0,0,0,0,0,0,0,0,0,0,0,0
Plex Gmbh,26420,0,0,2,2,0,2,0,0,0,3,2,353
The Ohio State University,26040,2,5,4,1,2,9,1,0,1,17,4,2104
BetBright,25521,2,0,2,0,2,2,0,0,0,3,2,2481
Foundation Medicine,25000,2,0,4,0,0,6,0,0,0,16,5,2428
Apttus Corporation,25000,1,1,2,1,1,45,0,0,0,99,4,1648
Development Bank of Singapore*,24750,1,10,6,0,6,17,7,0,0,24,2,1069
eHarmony.com,24470,3,0,1,0,1,6,0,0,0,27,7,1408
Air Force-GCSS,24300,0,0,0,0,0,0,1,0,0,0,0,0
Federal Emergency Management Agency (FEMA),24300,2,1,1,1,1,8,0,0,0,9,2,788
EverBank,24250,0,1,1,0,0,2,1,0,0,12,1,218
Woolworths,24066,1,0,3,0,1,3,1,0,0,6,2,940
Foot Locker,24000,4,1,2,0,1,20,1,0,0,66,7,1664
Office Depot,24000,8,11,4,2,1,26,0,1,1,113,13,2871
Simpli.fi,24000,0,0,1,1,0,1,0,0,0,24,2,524
"Medtronic, Inc.",23800,8,8,1,0,0,31,0,1,1,335,14,2343
Novartis Pharma AG,23734,2,1,2,1,1,36,2,0,0,57,3,1249
Continental Automotive GmbH,23340,4,2,3,0,0,13,2,0,0,26,11,2409
U.S. Cellular,23162,5,8,2,1,0,51,1,0,0,129,6,2664
Axa insurance Belgium,23153,5,9,6,0,2,20,2,2,0,33,12,2774
Seguros Suramericana,22950,3,7,1,0,0,9,5,1,0,12,7,2431
Red Bull,22546,0,3,2,0,1,6,1,0,1,14,4,821
Deutsche Börse AG,22312,2,5,5,0,2,11,0,0,0,24,4,1101
Merck & Co.  Inc.,21583,2,31,4,1,2,40,0,0,1,96,7,2102
Mozilla Corporation,21520,0,2,0,0,0,4,0,0,0,59,4,624
APL Logistics,21420,0,0,1,0,1,1,1,0,0,13,1,250
Travelers Companies,21311,22,16,10,0,1,46,0,0,0,190,25,11281
Walmart Global,21125,2,0,0,0,0,2,0,1,0,88,1,231
Nokia Solutions and Networks Oy,21110,43,144,33,2,7,207,1,1,2,418,52,12584
