Account,Won,Webinar,Conference,Website,Preqs,Trials,MKT,Partner,BVA,Eval,TotalNames,MQL,PardotScore
Insperity,2134,1,2,1,0,0,13,2,0,0,112,8,1256
Nice Actimize,2120,0,9,2,0,2,18,0,0,0,36,6,1582
Squaretrade,2081,0,0,1,0,0,2,0,0,0,18,5,824
Trend Micro,2000,4,33,4,0,2,39,0,0,0,116,8,2273
Cook Research Incorporated,2000,1,2,1,0,0,3,0,0,0,12,3,1061
Information Service Center WBF ISCeco,1988,1,1,1,0,0,5,0,0,0,7,3,896
Securian Financial Group,1953,4,2,1,0,0,5,0,0,0,23,8,3130
Abiomed,1850,4,1,0,0,0,9,0,0,0,23,5,1430
Pepperl+Fuchs GmbH,1826,1,0,1,0,0,1,0,0,0,8,4,913
IDeaS,1784,6,6,3,0,2,10,0,0,0,15,8,1929
AG2R La Mondiale,1711,0,2,3,0,0,6,0,0,1,27,3,1011
SVB Financial Group,1613,3,3,4,0,3,11,0,0,0,43,7,1558
Hyatt Corporation,1550,2,0,0,0,0,4,1,2,0,47,2,266
Deutsche WertpapierServiceBank AG,1536,0,0,0,0,0,1,0,0,0,5,2,393
NetApp,1500,7,43,8,0,4,80,1,0,0,385,26,4409
Pentaho,1500,3,2,1,1,0,7,0,0,0,18,4,1954
"Shared Technology Services Group, Inc.",1500,0,0,0,0,0,1,0,0,0,7,2,392
Starwood Hotels,1500,1,0,0,0,0,5,0,0,0,62,1,292
Cerved Group S.p.a.,1425,0,1,0,0,0,1,2,0,0,4,1,450
Avianca,1375,2,0,1,0,0,8,3,0,0,12,5,747
NETSUITE TEST DO NOT USE 1,1346,0,0,0,0,0,0,0,0,0,1,0,0
CareCentrix,1346,2,0,0,0,0,2,1,0,0,23,6,1715
Phillips 66,1302,2,5,0,0,0,7,3,0,0,71,1,288
Panasonic,1300,0,3,1,0,0,4,0,0,0,13,3,258
Apple Inc [R&D IS&T] (child),1212,0,0,0,0,0,0,3,0,0,0,0,0
TCF NATIONAL BANK,1150,4,0,1,0,1,22,1,0,0,55,9,1785
Colorado Judicial Branch,1147,1,0,0,0,0,7,2,0,1,13,2,275
Federal Reserve Bank of Richmond,1115,0,2,0,0,0,6,1,0,0,36,1,340
"Weight Watchers International, Inc.",1050,4,4,1,0,0,15,0,0,0,56,5,1103
AGFA Healthcare,1013,0,0,0,0,0,0,0,0,0,8,0,0
Honeywell HQ,970,22,25,11,1,2,61,6,0,1,484,14,3691
MN Services,933,0,0,1,0,0,2,1,0,0,9,2,429
NetJets,913,4,1,2,0,0,18,0,0,0,29,6,2008
Dirk Rossmann GmbH,790,0,1,0,0,0,1,0,0,0,6,1,-200
Cielo SA,786,9,16,7,0,3,29,3,0,0,35,5,1541
EMC IT Innovation,700,0,0,0,0,0,0,0,0,0,5,1,200
Accenture UK (INC),694,0,0,0,0,0,0,0,0,0,0,0,0
Mentor - Design Verification Technologies Division,671,2,1,0,0,0,2,0,0,0,3,2,533
Service Benefit Plan Administrative Services Corporation (SBPASC),645,15,8,5,0,0,34,0,0,0,69,19,6549
Unisys,575,29,37,12,2,2,74,2,0,0,121,48,8232
Kickback Rewards Systems,565,1,1,0,0,0,2,0,0,0,5,2,359
"Covance, Inc.",540,0,1,1,0,1,2,0,0,0,26,2,156
Bosch Rexroth AG,518,0,0,0,0,0,2,3,0,0,3,1,487
Leopold Kostal GmbH & Co. KG,506,1,0,1,0,1,2,0,0,0,13,3,1498
MFS Investment Management,402,7,3,3,0,2,14,4,0,0,17,4,1899
Siemens PLM Software Inc,397,2,5,0,0,0,7,3,0,0,17,6,864
Guidance,370,0,0,2,0,0,3,0,0,0,7,3,323
LifeCare Assurance,370,0,0,0,0,0,0,0,0,0,10,2,400
Lumos Networks,277,0,0,1,0,1,1,0,0,0,13,1,253
Amdocs-US [Qpass] (child),250,6,24,2,0,1,61,0,0,0,84,20,2911
John Lewis Plc,210,4,10,4,0,3,20,2,0,0,23,6,1634
Apple Retail Engineering,171,1,0,1,0,1,1,1,0,1,2,1,685
NetSuite Connector Extension,29,0,0,0,0,0,0,0,0,0,0,0,0
Sky UK,4,1,21,2,0,2,29,2,0,1,43,7,1392
"MultiPlan, Inc.",0,1,0,4,0,4,10,0,0,0,21,5,1253
