Account,Lost,Webinar,Conference,Website,Preqs,Trials,MKTT,Partner,BVA,Eval,TotalNames,MQL,PardotScore
Dais Technologies,15000,0,0,1,0,1,1,0,0,0,2,1,145
ETAS GmbH,15000,1,2,0,0,0,5,0,0,0,7,3,292
finder.com,15000,0,0,2,2,0,2,1,0,0,2,2,203
Groupon,15000,4,6,2,1,0,54,0,0,0,294,6,1306
ReachNow,15000,0,0,2,1,1,2,0,0,0,4,2,103
SheKnows Media,15000,0,0,0,0,0,1,0,0,0,2,0,-41
United States Department of Commerce,15000,0,0,0,0,0,0,0,0,0,0,0,0
Bosch Software Innovations,14834,0,4,2,0,1,8,0,0,1,45,2,200
Fareoffice CRS,14702,1,1,0,0,0,2,0,0,0,4,0,-32
Syniverse Technologies,14500,8,5,1,0,0,19,0,0,0,42,8,3400
"Prudential Financial, Inc.",14500,22,25,5,0,0,498,0,0,0,657,17,4017
WP Engine,14500,0,13,0,0,0,15,0,0,0,45,4,-80
Co-operative Bank,14379,0,0,0,0,0,1,0,0,0,3,0,-41
Shell UK,14289,0,2,1,1,0,16,1,0,1,33,1,100
MeVis Medical Solution AG,13526,0,0,1,1,0,1,0,0,0,1,1,100
Brightcove Inc.,13000,0,0,0,0,0,1,0,0,0,201,0,42
EPC,12981,0,0,0,0,0,0,0,0,0,1,0,-50
UrtheCast,12857,0,1,2,0,2,5,0,0,1,33,1,-291
Abacus Insights,12500,0,0,1,0,0,1,0,0,0,4,1,80
Terex Corporation,12500,1,0,1,0,1,2,0,0,0,96,1,249
Segugio.it (Gruppo Mutui On Line),12173,0,0,0,0,0,1,1,0,0,1,1,153
Immoweb,12141,0,0,0,0,0,0,0,0,0,2,0,-14
Royal Dutch Shell NL,12141,0,0,0,0,0,0,0,0,0,1,0,-50
Bundesanstalt für Finanzdienstleistungsaufsicht,12087,0,0,0,0,0,0,0,0,0,1,1,120
hybris GmbH,12087,0,2,0,0,0,3,0,0,0,31,1,163
Kisters AG,12087,0,0,0,0,0,1,0,0,0,2,0,-50
Axel Springer Ideas Engineering GmbH,12036,0,0,0,0,0,0,0,0,0,2,0,-50
iris-GmbH,12036,0,0,0,0,0,0,0,0,0,2,0,-50
Lumo Graphics GmbH,12036,0,0,0,0,0,0,1,0,0,1,0,-50
Otto GmbH & Co KG,12036,0,8,0,0,0,9,1,0,0,25,2,313
Alliance Inspection Management,12000,3,0,0,0,0,3,0,0,0,7,0,15
"Arthrex, Inc.",12000,3,1,1,0,0,4,0,0,0,28,1,702
Minted,12000,2,2,0,0,0,3,0,0,0,63,1,-24
MoneyGram International,12000,1,2,0,0,0,36,0,0,0,151,1,121
QuantifiedAg,12000,0,0,1,0,1,1,0,0,0,2,1,0
Smartvue Corporation,12000,1,0,0,0,0,1,0,0,0,6,1,179
State of Minnesota,12000,11,12,2,1,0,29,1,0,0,65,8,921
Vectren,12000,0,1,1,0,0,2,0,0,0,12,0,21
Xenatix,12000,1,0,0,0,0,2,0,0,0,6,1,46
Zynx Health,12000,0,0,0,0,0,0,0,0,0,12,1,0
Wind River Systems,11976,2,0,1,0,0,15,0,0,0,148,2,-69
Bachmann electronic GmbH,11675,0,2,0,0,0,2,1,0,0,4,0,-41
Audi AG,11659,1,7,1,0,0,16,0,0,0,25,2,366
Imurtuamur,11511,0,0,0,0,0,1,0,0,0,1,1,100
Societe Generale,11511,1,27,2,0,1,97,2,0,1,102,63,7393
Unicredit,11511,0,2,0,0,0,5,1,0,0,6,1,138
Accenture,11500,63,136,58,15,17,295,0,0,1,477,163,31989
Anda,11500,0,0,0,0,0,0,0,0,0,2,0,-150
Apriva,11500,1,0,0,0,0,10,0,0,0,30,0,-225
Belk,11500,0,5,1,0,0,24,0,0,0,138,1,204
"Cartera Commerce, Inc",11500,1,0,1,0,0,2,0,0,0,46,1,127
CBRE Group,11500,0,19,4,1,1,92,0,0,0,352,5,1054
Cyanna Education Services,11500,0,0,0,0,0,0,0,0,0,1,0,-50
"Datto, Inc.",11500,0,2,0,0,0,2,0,0,0,67,0,60
Equifax Inc.,11500,6,10,3,1,0,93,0,0,0,209,8,1455
FirstFuel Software Inc.,11500,1,4,0,0,0,5,0,0,0,24,1,193
GT Software,11500,0,0,1,0,0,2,0,0,0,9,1,-123
IBM Watson Health (Formerly Truven Health Analytics),11500,2,3,1,0,0,15,0,0,0,85,4,649
Intuitive Surgical,11500,2,2,1,0,0,4,0,0,0,163,2,932
Moz,11500,0,0,0,0,0,1,0,0,0,24,0,-350
Oracle,11500,26,140,24,0,6,274,0,0,0,887,120,17313
Rambus,11500,0,1,0,0,0,2,0,0,0,42,0,34
SoftwareONE,11500,1,0,0,0,0,4,0,0,0,26,2,240
The Weather Company,11500,1,4,0,0,0,35,0,0,0,190,1,38
Bandwidth,11500,0,0,1,0,1,1,0,0,0,25,1,16
BuzzFeed,11500,1,1,0,0,0,3,0,0,0,12,1,140
Citizens Financial Group,11500,0,4,1,1,0,163,0,0,0,254,2,58
Credit Acceptance Corporation,11500,0,1,0,0,0,1,0,0,0,52,0,-151
Delphi,11500,0,0,0,0,0,1,0,0,0,32,0,36
Eli Lilly & Co.,11500,3,6,1,0,0,13,0,1,1,78,6,1543
Health Net,11500,0,0,0,0,0,4,0,0,0,68,0,-47
Los Alamos National Laboratory Foundation,11500,0,2,0,0,0,8,0,0,0,11,0,-15
Qualys,11500,3,5,3,0,1,15,0,0,0,61,4,631
Synechron,11500,6,5,3,0,0,18,0,0,0,51,6,1924
"VIZIO, Inc.",11500,0,1,0,0,0,1,0,0,0,27,0,-150
Zenoss,11500,3,8,0,0,0,12,0,0,0,62,2,219
Jungheinrich AG,11400,0,0,0,0,0,0,0,0,0,2,0,-50
Amdocs,11250,36,402,22,2,3,608,3,0,0,939,387,44530
TIAA-CREF,11155,23,15,5,0,1,38,3,0,0,171,21,3948
L&T Infotech,11100,12,24,5,0,1,36,1,0,1,42,22,4056
Great American Insurance Company,10800,4,1,2,0,0,13,0,1,0,29,2,73
Jump Trading,10800,0,1,0,0,0,2,0,0,0,18,0,-148
Telecom Italia Information Technology (TI.IT) s.r.l.,10360,0,0,0,0,0,4,1,0,0,4,2,206
ICANN,10350,0,2,0,0,0,2,1,0,0,11,0,68
De Persgroep,10343,1,1,0,0,0,3,0,0,0,9,1,228
NXP Semiconductors,10343,1,0,4,0,0,18,0,0,0,92,4,565
LKW Walter,10252,0,3,0,0,0,4,2,0,0,9,0,95
Vector Informatik GmbH,10252,1,2,3,0,1,13,0,0,1,14,3,3128
Xortex eBusiness GmbH,10252,0,1,1,1,0,2,0,0,0,2,2,203
Edwards Ltd,10149,0,1,1,1,0,2,0,0,0,2,1,109
Active911,10000,1,4,0,0,0,4,0,0,0,6,0,-58
Atrium Health (Formerly Carolinas HealthCare System),10000,0,0,0,0,0,0,0,0,0,34,0,-47
Banca Mediolanum spa,10000,0,1,0,0,0,2,1,0,0,2,1,25
Calculo,10000,1,0,0,0,0,2,1,0,0,2,2,330
Danske IT and Support Services India Pvt Ltd,10000,0,1,0,0,0,2,1,0,0,2,1,200
Dogus Planet,10000,0,0,0,0,0,1,0,0,0,1,1,150
Gemeente Amsterdam,10000,0,0,0,0,0,3,0,0,0,4,0,60
Informática Ayuntamiento de Madrid,10000,0,0,0,0,0,2,1,0,0,3,2,312
Jelly Button Games,10000,0,0,1,0,1,1,1,0,0,1,1,100
JetBrains,10000,0,3,1,0,0,4,0,0,0,8,3,410
Johannesburg Stock Exchange,10000,1,6,1,0,0,7,1,0,0,7,2,386
"PDX, Inc.",10000,2,4,0,0,0,18,0,0,0,55,4,376
Rishabh Software,10000,0,0,0,0,0,0,1,0,0,2,0,18
Schonfeld,10000,1,0,1,0,1,3,0,0,0,13,2,668
Sensor Tower,10000,0,0,1,1,0,1,0,0,0,4,1,34
Skysoft,10000,0,0,0,0,0,1,0,0,0,2,0,-50
Solera Networks,10000,1,0,0,0,0,1,0,0,0,3,1,116
State of Utah,10000,1,8,0,0,0,8,0,0,0,11,1,221
Tech Mahindra Ltd.,10000,32,245,19,0,7,286,1,0,0,293,142,18474
Two Bulls,10000,0,1,1,0,1,2,0,0,0,3,1,124
UBI >< Sistemi e Servizi,10000,0,2,0,0,0,5,1,0,0,5,0,25
University of Calgary,10000,1,0,2,1,0,16,0,0,0,18,2,33
Visteon Corporation,10000,7,1,4,1,1,23,0,0,1,165,9,2228
Zemingo,10000,0,0,2,0,2,2,1,0,0,2,2,482
GSATi,10000,2,2,0,0,0,2,0,0,0,5,2,1285
"Jukin Media, Inc.",10000,0,0,2,1,2,2,0,0,0,3,2,294
LGS Innovations,10000,0,2,2,1,0,4,0,0,0,9,2,467
NetNumber,10000,0,0,1,0,1,7,0,0,0,36,1,34
SemaTree,10000,0,0,2,1,1,2,0,0,0,2,1,345
SMA Solutions,10000,0,0,0,0,0,2,0,0,0,2,1,24
University of Richmond,9960,0,0,1,0,0,1,0,0,0,2,1,-16
University of Texas At Austin,9700,2,9,3,0,0,19,0,0,0,33,9,762
Linde AG,9379,0,0,0,0,0,1,0,0,0,10,0,-44
Ritchie Bros. Auctioneers Inc.,9310,1,3,1,1,0,5,0,0,0,9,1,-144
American Tower Corp,9250,0,1,1,0,1,3,0,0,0,32,1,80
analyticsMD,9250,0,0,0,0,0,0,0,0,0,1,0,-50
Biogen Inc.,9250,1,0,0,0,0,7,0,0,0,103,1,183
Build.com,9250,0,3,0,0,0,4,0,0,0,36,0,-142
Busey Bank,9250,0,1,0,0,0,1,0,0,0,3,0,-100
"Cakewalk, Inc.",9250,0,0,0,0,0,0,0,0,0,8,0,-147
CIG,9250,5,11,1,0,0,14,0,0,0,34,11,3981
Cyrus Biotechnology,9250,0,0,0,0,0,0,0,0,0,1,0,-50
Datapipe,9250,0,2,0,0,0,2,0,0,0,22,1,-211
Deluxe Entertainment Services Group Inc.,9250,2,0,0,0,0,31,0,0,0,120,1,411
"DTS, Inc",9250,1,0,0,0,0,9,0,0,0,19,1,24
GPShopper,9250,0,0,1,0,0,1,0,0,0,8,1,-32
Harris Testing,9250,0,0,0,0,0,0,0,0,0,0,0,0
Independent Purchasing Cooperative,9250,2,2,0,0,0,10,0,0,0,20,2,486
Laura Canada,9250,0,0,0,0,0,0,0,0,0,3,0,-47
Ministry of the Interior / policija SLOVENIA,9250,0,0,0,0,0,0,1,0,0,1,1,56
Sanmina-SCI Corporation,9250,10,2,1,0,0,14,0,0,0,74,3,848
St. Joseph Health,9250,0,1,0,0,0,1,0,0,0,22,0,-22
TIDY,9250,0,0,0,0,0,0,0,0,0,2,0,-50
WiderPlanet Co.,9250,0,0,2,1,1,2,0,0,0,2,1,250
Zenith Insurance Company,9250,2,0,1,0,0,33,0,0,0,49,1,50
CipherHealth LLC,9250,0,0,0,0,0,0,0,0,0,9,0,-244
CorticoMetrics,9250,0,0,0,0,0,0,0,0,0,3,0,-82
Finish Line Inc.,9250,1,3,0,0,0,4,0,0,0,34,2,303
HealthPartners,9250,0,1,2,0,1,5,0,0,0,60,1,247
Visible World,9250,2,0,0,0,0,2,0,0,0,7,1,132
DSV A&S,9209,0,2,2,1,2,4,0,0,0,4,3,484
EdLogics,9200,0,0,1,0,0,1,1,0,0,5,1,4
Strut Digital,9200,0,0,0,0,0,0,2,0,0,3,1,150
AIM Specialty Health,9000,0,1,0,0,0,7,0,0,0,35,4,425
Uline,9000,0,0,0,0,0,15,0,0,0,64,1,-135
PocketMobile Communications AB,8925,0,0,0,0,0,0,0,0,0,1,0,-50
Union Bank,8625,6,8,4,1,2,16,0,0,0,35,12,3498
Ernst & Young India,8500,0,0,1,0,1,1,1,0,0,2,1,227
Cloudgine Ltd,8361,1,0,0,0,0,3,0,0,0,3,0,257
Dubai Municipality,8000,1,1,0,0,0,2,1,0,0,2,1,118
Patagonia  Inc.,8000,0,0,0,0,0,1,0,0,0,18,0,-50
Powerhouse,8000,0,0,1,1,0,2,0,0,1,2,1,100
Mohammed Bin Rashid Housing Establishment,7863,1,0,0,0,0,1,1,0,0,1,1,12
GoHealth,7400,0,1,0,0,0,2,0,0,0,30,1,53
Serenova,7400,0,2,0,0,0,2,0,0,0,11,0,28
Alex and Ani,7400,0,0,0,0,0,1,1,0,0,23,0,-350
Altair Engineering,7400,4,3,0,0,0,11,0,0,0,45,2,562
Bob Evans Farms,7400,0,0,0,0,0,0,0,0,0,16,0,-350
Lexis Nexis,7400,12,16,6,0,2,83,0,1,0,121,9,1194
Rogers Communications,7400,0,3,2,0,2,6,0,0,0,297,3,189
Sight Machine,7400,0,0,0,0,0,0,0,0,0,12,0,-44
Sema Group,7000,1,2,1,0,0,3,0,0,0,5,1,223
Innovation 4 Security,6907,2,4,0,0,0,6,1,0,0,6,4,554
Sanitas,6907,0,0,0,0,0,1,1,0,0,2,1,150
Intentionet,6500,0,0,1,1,0,1,0,0,0,1,1,150
Archiva Group,6000,0,0,0,0,0,0,1,0,0,2,0,-50
Genpact,6000,2,6,3,1,1,13,1,0,0,18,10,1400
ING Services Polska,6000,1,2,0,0,0,3,1,0,0,5,0,136
Royal Bank Of Scotland,6000,4,30,2,0,1,34,1,0,0,36,8,1224
Securitas Direct,6000,0,0,0,0,0,1,1,0,0,1,1,200
ICFLix,5756,0,0,0,0,0,1,1,0,0,2,0,-50
Huf Secure Mobile GmbH,5410,0,0,0,0,0,0,0,0,0,1,0,-50
MedImpact Healthcare,5250,0,1,0,0,0,1,0,0,0,83,0,89
Loftware,5040,1,0,1,1,0,1,0,0,0,27,1,77
Artifact Uprising,5000,0,0,0,0,0,0,0,0,0,3,0,-250
Axway,5000,8,20,5,0,1,37,0,0,0,152,19,2873
Healthgrades,5000,0,2,0,0,0,12,0,0,0,60,0,136
Hitachi Consulting,5000,1,37,1,1,0,39,0,0,0,41,28,2560
Montclair State University - montclair.edu,5000,0,0,1,1,0,1,0,0,0,1,1,100
TeeZnar,5000,0,0,0,0,0,0,0,0,0,2,0,-150
Thinknear,5000,0,0,1,1,0,1,0,0,0,1,1,150
Trility,5000,0,0,1,0,1,1,0,0,0,1,1,86
Solomon R. Guggenheim Museum,1000,0,0,0,0,0,0,0,0,0,1,0,0
