Account,Lost,Webinar,Conference,Website,Preqs,Trials,MKTT,Partner,BVA,Eval,TotalNames,MQL,PardotScore
Magic Leap,83750,1,2,0,0,0,6,0,0,0,78,1,665
U.S. Department of Housing and Urban Development,80103,0,4,0,0,0,18,1,0,0,20,3,343
Pennsylvania State University,80000,2,2,2,0,1,5,0,0,0,17,2,436
Smartsheet,80000,1,1,1,1,0,13,0,0,0,134,2,-567
GE Healthcare,77750,2,6,2,0,1,8,0,0,0,370,5,1375
Billtrust,75000,3,0,0,0,0,3,0,0,0,25,3,508
BMC Software,75000,11,32,6,0,0,68,0,0,0,226,26,3621
Thomas Cook Online,75000,0,0,1,1,0,1,0,0,0,2,1,83
Ford Motor Company,71650,18,9,7,1,2,39,0,0,1,125,15,3005
Sotera Defense,70687,0,1,0,0,0,1,1,0,0,48,0,48
Garmin,70000,2,4,2,1,0,22,0,1,0,323,6,914
"Market America, Inc.",70000,0,3,1,0,0,11,0,1,0,42,3,-489
National Instruments Corporation,70000,2,6,3,0,1,71,0,0,0,222,5,851
"PatientKeeper, Inc.",70000,0,0,0,0,0,1,0,0,0,49,0,-147
The College Board,70000,3,7,1,0,0,41,0,0,0,93,2,1214
KBC Groep NV,67627,7,4,1,0,0,11,0,0,0,67,6,1342
Level 3 Communications,67532,0,6,0,0,0,20,0,0,0,171,2,-1
Spirent Communications,67500,1,5,0,0,0,8,0,0,0,76,2,270
Wunderman,67500,0,0,1,1,0,3,0,0,0,7,1,100
IBM,66750,292,723,129,12,27,1085,2,0,0,2970,676,118606
DataStax,66500,0,2,0,0,0,3,0,0,0,60,0,-71
Leidos,65000,7,12,5,0,2,87,0,0,0,142,9,1736
Teradata,65000,12,48,5,0,0,200,0,0,0,343,33,4307
General Motors,64600,22,15,9,0,4,66,0,0,0,208,24,4864
Paralucent,64471,1,1,1,1,0,2,1,0,0,3,2,352
Nord Ost West Informationstechnik GmbH,64079,0,0,0,0,0,0,0,0,0,3,0,-29
Neiman Marcus,63650,0,1,3,1,2,16,0,0,0,134,5,805
Xerox Corporation,63500,3,14,2,1,1,33,0,0,0,644,9,2300
The Rubicon Project,62500,0,0,0,0,0,2,0,0,0,36,0,-341
Arxan Technologies,61000,0,1,0,0,0,1,0,0,0,13,0,50
AutoTrader.com,60800,3,5,2,0,0,9,0,1,0,90,2,652
Acquia Inc.,60000,0,7,1,0,1,10,0,0,0,228,7,1879
Kaplan Inc,60000,2,3,3,0,3,50,0,0,0,139,5,1157
National Geographic,60000,0,1,0,0,0,11,0,0,0,36,0,31
Netsmart Technologies,60000,0,1,1,1,0,5,0,0,0,113,1,-185
Papa John's International,60000,1,0,0,0,0,4,0,0,0,62,1,206
Progressive Insurance,60000,6,26,0,0,0,68,0,0,0,242,11,1286
RhythmOne LLC,60000,0,0,1,1,0,2,0,0,0,3,1,0
StrataGen Systems,60000,0,0,0,0,0,0,0,0,0,6,0,-300
Fiserv,59400,13,14,3,0,0,78,0,0,0,359,17,3898
NASA,58579,3,8,2,0,0,43,2,0,1,48,3,504
BETFAIR GROUP PLC,57152,0,0,0,0,0,3,0,0,0,7,0,-13
"New Relic, Inc.",56700,3,11,0,0,0,41,0,0,0,190,2,22
Chegg Inc.,56500,1,6,0,0,0,7,0,0,0,73,2,288
Chicago Trading Company,55100,1,0,0,0,0,4,0,0,0,16,2,284
Flowplay,55000,1,0,0,0,0,1,0,0,0,6,0,83
ibermatica,54098,0,1,5,0,5,7,1,0,0,7,2,882
Charles Schwab,53500,1,13,0,0,0,68,0,0,0,617,2,480
LV=,52998,6,5,2,0,0,14,0,0,0,22,6,2792
U S Courts,52721,0,0,0,0,0,1,1,0,0,7,0,-150
TUI Belgium,50624,0,0,2,1,1,2,0,0,0,2,1,203
Department for Work and Pensions (DWP),50400,0,0,0,0,0,0,0,0,0,3,0,-150
Alliance Data,50000,6,6,3,1,0,32,0,0,0,112,7,1550
ARCA Worldwide,50000,2,0,0,0,0,3,0,0,0,7,1,347
Educational Testing Service,50000,2,3,2,0,0,24,0,0,0,119,2,292
Ericsson Canada,50000,0,16,0,0,0,19,0,0,0,49,1,-148
HomeAdvisor,50000,2,2,1,1,1,60,0,0,0,68,2,589
Infosys Technologies,50000,151,187,77,8,21,420,0,0,0,511,104,27381
Magento,50000,9,13,4,1,0,32,0,1,0,78,12,3113
Motorists Insurance,50000,1,3,1,1,0,12,0,0,0,26,1,1203
Mycronic,50000,1,0,0,0,0,1,0,0,0,5,0,167
nrg,50000,3,7,2,1,0,13,0,0,0,47,7,1007
OnCourse Learning,50000,0,0,0,0,0,0,0,0,0,5,0,6
"PhishMe, Inc.",50000,0,10,1,0,1,37,0,0,0,41,3,463
SANS Institute,50000,1,1,2,1,0,4,0,0,0,4,2,394
StartApp,50000,0,1,1,0,1,2,1,0,0,10,1,55
Whole Foods Market,50000,5,3,1,0,0,17,0,0,0,62,2,710
TRUMPF GmbH + Co. KG,49968,0,0,0,0,0,3,1,0,0,12,0,-47
Ally Financial,49555,8,7,4,0,0,27,0,0,0,164,10,2177
Verint Systems Inc.,49500,2,11,2,0,0,18,0,0,0,207,3,593
ManuLife Financial,49250,4,22,2,0,0,40,0,0,0,429,5,-204
CLOSE BROTHERS GROUP PLC,48600,0,0,0,0,0,3,0,0,1,6,1,-82
Mary Kay,48600,0,2,0,0,0,4,1,0,0,56,2,-144
Adient,48000,1,1,2,1,0,4,0,0,0,11,4,933
Bigcommerce,48000,0,0,1,1,1,4,0,0,0,62,1,-123
Tufts Health Plan,48000,0,2,1,1,0,15,0,0,0,48,3,486
E*Trade Financial Corporation,47550,2,0,0,0,0,11,0,0,0,79,2,84
Uber Technologies  Inc.,47430,2,3,0,0,0,14,0,0,0,252,1,-83
ConocoPhillips,47260,4,3,0,0,0,20,0,0,0,104,4,523
Bundesrechenzentrum GmbH,47094,0,0,0,0,0,4,0,0,0,7,1,109
The Mobilty House GmbH,46374,0,0,1,1,1,1,0,0,0,1,1,251
Brocade,46225,1,7,3,0,2,16,0,0,0,89,4,424
ExxonMobil,46225,1,48,2,1,1,95,0,0,0,281,37,4368
St. Jude Medical,46000,0,1,1,0,1,5,0,0,1,71,0,30
ESL,45000,0,1,0,0,0,1,0,0,0,2,0,61
